id,value
Alabama,11
Alaska,1
Arizona,13
Arkansas,2
California,36
Colorado,6
Connecticut,3
Delaware,1
Florida,23
Georgia,16
Hawaii,1
Idaho,1
Illinois,11
Indiana,1
Iowa,1
Kansas,5
Kentucky,5
Louisiana,7
Maine,1
Maryland,1
Massachusetts,5
Michigan,11
Minnesota,3
Mississippi,5
Missouri,2
Montana,1
Nebraska,2
Nevada,5
New Hampshire,0
New Jersey,3
New Mexico,3
New York,10
North Carolina,11
North Dakota,0
Ohio,10
Oklahoma,5
Oregon,4
Pennsylvania,8
Rhode Island,0
South Carolina,5
South Dakota,1
Tennessee,7
Texas,20
Utah,2
Vermont,1
Virginia,8
Washington,16
West Virginia,1
Wisconsin,8
Wyoming,1
